series,baker_full,age,occupation,hometown
1,Annetha Mills,30,Midwife,Essex
1,David Chambers,31,Entrepreneur,Milton Keynes
1,"Edward ""Edd"" Kimber",24,Debt collector for Yorkshire Bank,Bradford
1,Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham
1,Jonathan Shepherd,25,Research Analyst,St Albans
1,Lea Harris,51,Retired,"Midlothian, Scotland"
1,Louise Brimelow,44,Police Officer,Manchester
1,Mark Whithers,48,Bus Driver,South Wales
1,Miranda Gore Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire"
2,Ben Frazer,31,Graphic Designer,Northampton
2,Holly Bell,31,Advertising executive,Leicester
2,Ian Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
2,Jason White,19,Civil Engineering Student,Croydon
2,"Joanne ""Jo"" Wheatley",41,Housewife,"Ongar, Essex"
2,Keith Batsford,31,House husband,"Arlesey, Bedfordshire"
2,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire"
2,Robert Billington,25,Photographer,London
2,Simon Blackwell,31,Rugby Coach,Norfolk
2,Urvashi Roe,40,Head of Marketing,"Enfield, London"
2,Yasmin Limbert,43,Childminder,"West Kirby, The Wirral"
3,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield
3,Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex"
3,Danny Bryden,45,Intensive care consultant,Sheffield
3,James Morton,21,Medical student,"Hillswick, Shetland Islands"
3,John Whaite,22,Law student,Wigan
3,Manisha Parmar,27,Nursery nurse,Leicester
3,Natasha Stringer,36,Midwife,"Tamworth, Staffordshire"
3,Peter Maloney,43,Sales manager,"Windsor, Berkshire"
3,Ryan Chong,38,Photographer,Bristol
3,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex"
3,Stuart Marston-Smith,26,PE teacher,"Lichfield, Staffordshire"
3,Victoria Chester,50,CEO of the charity Plantlife,Somerset
4,Ali Imdad,25,Charity worker,"Saltley, Birmingham"
4,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
4,Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire"
4,Deborah Manger,51,Dentist,Peterborough
4,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
4,Glenn Cosby,37,English Teacher,"Teignmouth, Devon"
4,Howard Middleton,51,Council Worker,Sheffield
4,Kimberley Wilson,30,Psychologist,London
4,Lucy Bellamy,38,Horticulturist,"Grimsby, Lincolnshire"
4,Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes
4,Robert Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
4,Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex"
4,Toby Waterworth,30,Web Programmer,"Reading, Berkshire"
5,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent"
5,Claire Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford"
5,Diana Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,Enwezor Nzegwu,39,Business Consultant,"Portsmouth, Hampshire"
5,Iain Watters,31,Construction Engineer,London/Belfast
5,Jordan Cox,32,IT Manager,"Sneinton, Nottingham"
5,Kate Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,Martha Collison,17,Student,"Ascot, Berkshire"
5,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray"
5,Richard Burr,38,Builder,"Mill Hill, London"
6,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire"
6,Dorret Conway,53,Accountant,"Penwortham, Lancashire"
6,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,Marie Campbell,66,Retired,"Auchterarder, Perthshire"
6,Mat Riley,37,Fire fighter,London
6,Nadiya Hussain,30,Full-time mother,Leeds / Luton
6,Paul Jagger,49,Prison governor,"Swansea, Wales"
6,Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire"
6,Stu Henshall,35,Professional musician,"Guildford, Surrey"
6,Tamal Ray,29,Trainee anaesthetist,Manchester
6,Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
7,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,Benjamina Ebuehi,23,Teaching assistant,South London
7,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,Jane Beedle,61,Garden designer,Beckenham
7,Kate Barmby,37,Nurse,"Brooke, Norfolk"
7,Lee Banfield,67,Pastor,Bolton
7,Louise Williams,46,Hairdresser,Cardiff
7,Michael Georgiou,20,Student,Durham
7,Rav Bansal,28,Student support,Erith
7,Selasi Gbormittah,30,Client service associate,London
7,Tom Gilliford,26,Project engagement manager,Rochdale
7,"Valerie ""Val"" Stones",66,"Semi-retired, Substitute teacher",Yeovil
8,Chris Geiger,50,Software developer,Bristol
8,Flo Atkins,71,Retired,Merseyside
8,James Hillery,46,Banker,"Brentwood, Essex"
8,Julia Chernogorova,21,Aviation Broker,"Crawley, West Sussex"
8,Kate Lyon,29,Health and safety inspector,Merseyside
8,Liam Charles,19,Student,North London
8,Peter Abatan,52,IT programme manager,"Southend, Essex"
8,Sophie Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,Stacey Hart,42,Former school teacher,"Radlett, Hertfordshire"
8,Steven Carter-Bailey,34,Marketer,"Watford, Hertfordshire"
8,Tom Hetherington,29,Architect,Edinburgh
8,"Chuen-Yan ""Yan"" Tsou",46,Laboratory research scientist,North London
9,Antony Amourdoux,30,Banker,London
9,Briony Williams,33,Full-time parent,Bristol
9,Dan Beasley-Harling,36,Full-time parent,London
9,Imelda McCarron,33,Countryside recreation officer,County Tyrone
9,Jon Jenkins,47,Blood courier,Newport
9,Karen Wright,60,In-store sampling assistant,Wakefield
9,Kim-Joy Hewlett,27,Mental health specialist,Leeds
9,Luke Thompson,30,Civil servant/house and techno DJ,Sheffield
9,Manon Lagrève,26,Software project manager,London
9,Rahul Mandal,30,Research scientist,Rotherham
9,Ruby Bhogal,29,Project manager,London
9,Terry Hartill,56,Retired air steward,West Midlands
10,Alice Fevronia,28,Geography teacher,Essex
10,Amelia Le Bruin,24,Fashion designer,Halifax
10,Dan Chambers,32,Support worker,Rotherham
10,David Atherton,36,International health adviser,Whitby
10,Helena Garcia,40,Online project manager,Leeds
10,Henry Bird,20,Student,Durham
10,Jamie Finn,20,Part-time waiter,Surrey
10,Michael Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon
10,Michelle Evans-Fecci,35,Print shop administrator,"Tenby, Wales"
10,Phil Thorne,56,HGV driver,Rainham
10,Priya O'Shea,34,Marketing consultant,Leicester
10,Rosie Brandreth-Poynter,28,Veterinary surgeon,Somerset
10,Steph Blackwell,28,Shop assistant,Chester
